original_text,tokenized_text,avg_politeness_score,politeness_std,all_politeness_scores,binary_politeness_score,doc_len
"There's something missing here. `CDLinkedList` doesn't appear to have a `display` member function, and where's `operator()` being called from?","['there', ""'s"", 'something', 'missing', 'here', '.', '`', 'cdlinkedlist', '`', 'does', ""n't"", 'appear', 'to', 'have', 'a', '`', 'display', '`', 'member', 'function', ',', 'and', 'where', ""'s"", '`', 'operator', '(', ')', '`', 'being', 'called', 'from', '?']",16.0,3.03315017762062,"[12, 17, 20, 13, 18]",0,33
"The answers (3) show different meaning for that ""time standard"". Could You please specify what You mean with that?","['the', 'answers', '(', '3', ')', 'show', 'different', 'meaning', 'for', 'that', '``', 'time', 'standard', ""''"", '.', 'could', 'you', 'please', 'specify', 'what', 'you', 'mean', 'with', 'that', '?']",14.8,3.1240998703626617,"[17, 9, 17, 14, 17]",0,25
Another thing: <url> has created <url>. What do you think about it?,"['another', 'thing', ':', '<', 'url', '>', 'has', 'created', '<', 'url', '>', '.', 'what', 'do', 'you', 'think', 'about', 'it', '?']",15.8,2.993325909419153,"[13, 13, 21, 15, 17]",0,19
What about a function like safe_free(void* ptr) { free(ptr); ptr = NULL; } or something like that?  Or what about some kind of struct wrapper and functions to manipulate it?,"['what', 'about', 'a', 'function', 'like', 'safe_free', '(', 'void', '*', 'ptr', ')', '{', 'free', '(', 'ptr', ')', ';', 'ptr', '=', 'null', ';', '}', 'or', 'something', 'like', 'that', '?', 'or', 'what', 'about', 'some', 'kind', 'of', 'struct', 'wrapper', 'and', 'functions', 'to', 'manipulate', 'it', '?']",14.2,1.5999999999999999,"[17, 13, 13, 13, 15]",0,41
"Ok, thanks for that. Could you please tell me why the Kiwa page is giving warning about notability and citations, where as for example this one <url> is not?","['ok', ',', 'thanks', 'for', 'that', '.', 'could', 'you', 'please', 'tell', 'me', 'why', 'the', 'kiwa', 'page', 'is', 'giving', 'warning', 'about', 'notability', 'and', 'citations', ',', 'where', 'as', 'for', 'example', 'this', 'one', '<', 'url', '>', 'is', 'not', '?']",18.6,2.0591260281974,"[21, 17, 18, 21, 16]",1,35
I'm using javascript to include other html files. <-- why?,"['i', ""'m"", 'using', 'javascript', 'to', 'include', 'other', 'html', 'files', '.', '<', '--', 'why', '?']",10.6,2.33238075793812,"[13, 11, 7, 9, 13]",-1,14
Thanks for the cleanup.  Why did you delink the songs and Weird Al's album?,"['thanks', 'for', 'the', 'cleanup', '.', 'why', 'did', 'you', 'delink', 'the', 'songs', 'and', 'weird', 'al', ""'s"", 'album', '?']",17.8,1.5999999999999999,"[17, 21, 17, 17, 17]",1,17
what problem are you having?  what error are you getting?,"['what', 'problem', 'are', 'you', 'having', '?', 'what', 'error', 'are', 'you', 'getting', '?']",18.2,2.3151673805580453,"[17, 21, 16, 16, 21]",1,12
I figured that. Is there anything else I need to do?,"['i', 'figured', 'that', '.', 'is', 'there', 'anything', 'else', 'i', 'need', 'to', 'do', '?']",16.8,5.30659966456864,"[21, 25, 14, 11, 13]",1,13
Yes. What about ''Q''&times;''Q'' with the L<sup>1</sup> norm?,"['yes', '.', 'what', 'about', '``', 'q', ""''"", '&', 'times', ';', ""''"", 'q', ""''"", 'with', 'the', 'l', '<', 'sup', '>', '1', '<', '/sup', '>', 'norm', '?']",13.0,0.0,"[13, 13, 13, 13, 13]",0,25
@Rishav Rastogi - I've got it in application.rb (pasted in above). Should that work?,"['@', 'rishav', 'rastogi', '-', 'i', ""'ve"", 'got', 'it', 'in', 'application.rb', '(', 'pasted', 'in', 'above', ')', '.', 'should', 'that', 'work', '?']",15.4,3.0724582991474434,"[14, 18, 12, 13, 20]",0,20
"Presumably the CfD will be inconclusive. Given the technical issues, perhaps an RfC might be more helpful?","['presumably', 'the', 'cfd', 'will', 'be', 'inconclusive', '.', 'given', 'the', 'technical', 'issues', ',', 'perhaps', 'an', 'rfc', 'might', 'be', 'more', 'helpful', '?']",18.0,3.5777087639996634,"[16, 21, 17, 13, 23]",1,20
I'm testing it using the simulator. I can't find anywhere in the simulator to disable daylight saving?,"['i', ""'m"", 'testing', 'it', 'using', 'the', 'simulator', '.', 'i', 'ca', ""n't"", 'find', 'anywhere', 'in', 'the', 'simulator', 'to', 'disable', 'daylight', 'saving', '?']",13.6,0.8,"[13, 13, 13, 15, 14]",0,21
"It would help if you could create a scenario so I can see what you are talking about. I think this is an optimization problem, but what if you have a non-optimal solution that meets the requirements, would that be sufficient?","['it', 'would', 'help', 'if', 'you', 'could', 'create', 'a', 'scenario', 'so', 'i', 'can', 'see', 'what', 'you', 'are', 'talking', 'about', '.', 'i', 'think', 'this', 'is', 'an', 'optimization', 'problem', ',', 'but', 'what', 'if', 'you', 'have', 'a', 'non-optimal', 'solution', 'that', 'meets', 'the', 'requirements', ',', 'would', 'that', 'be', 'sufficient', '?']",12.4,2.33238075793812,"[13, 11, 9, 16, 13]",0,45
"Why did you ""nowiki"" the unblock template?  Is it just here for show, or do you want it to be considered?","['why', 'did', 'you', '``', 'nowiki', ""''"", 'the', 'unblock', 'template', '?', 'is', 'it', 'just', 'here', 'for', 'show', ',', 'or', 'do', 'you', 'want', 'it', 'to', 'be', 'considered', '?']",12.8,4.308131845707603,"[19, 9, 9, 17, 10]",0,26
"Can you please clarify, if you only care about the weights, why you don't simply do `data[x] += w`? What do you care about besides the weights?","['can', 'you', 'please', 'clarify', ',', 'if', 'you', 'only', 'care', 'about', 'the', 'weights', ',', 'why', 'you', 'do', ""n't"", 'simply', 'do', '`', 'data', '[', 'x', ']', '+=', 'w', '`', '?', 'what', 'do', 'you', 'care', 'about', 'besides', 'the', 'weights', '?']",16.2,2.039607805437114,"[15, 17, 13, 19, 17]",1,37
"So the input is this ""giant list of giant sets `G`"". What's the output you're trying to compute?","['so', 'the', 'input', 'is', 'this', '``', 'giant', 'list', 'of', 'giant', 'sets', '`', 'g', '`', '``', '.', 'what', ""'s"", 'the', 'output', 'you', ""'re"", 'trying', 'to', 'compute', '?']",15.2,2.3151673805580453,"[13, 18, 18, 14, 13]",0,26
@Qiang Li: okay. Is this question drawn from a specific programming challenge ?,"['@', 'qiang', 'li', ':', 'okay', '.', 'is', 'this', 'question', 'drawn', 'from', 'a', 'specific', 'programming', 'challenge', '?']",14.4,2.33238075793812,"[13, 13, 19, 14, 13]",0,16
If you stay at the CGI level _any_ language can be used for web development.  Anything in particular you need?,"['if', 'you', 'stay', 'at', 'the', 'cgi', 'level', '_any_', 'language', 'can', 'be', 'used', 'for', 'web', 'development', '.', 'anything', 'in', 'particular', 'you', 'need', '?']",12.0,2.6832815729997477,"[13, 9, 9, 13, 16]",0,22
This is a vague question. Do you even consider the payment and billing cycle dates?,"['this', 'is', 'a', 'vague', 'question', '.', 'do', 'you', 'even', 'consider', 'the', 'payment', 'and', 'billing', 'cycle', 'dates', '?']",6.8,4.019950248448357,"[13, 5, 9, 6, 1]",-1,17
"That sounds like they are just ""general use"" of the word, so in each article delink and (if needed) explain that, in this context, diaphragm means a divider - or just rewrite without the word diaphragm, or use a link to wiktionary. In fact, should linking to wiktionary be a standard way to clear up some of the links to dab pages?","['that', 'sounds', 'like', 'they', 'are', 'just', '``', 'general', 'use', ""''"", 'of', 'the', 'word', ',', 'so', 'in', 'each', 'article', 'delink', 'and', '(', 'if', 'needed', ')', 'explain', 'that', ',', 'in', 'this', 'context', ',', 'diaphragm', 'means', 'a', 'divider', '-', 'or', 'just', 'rewrite', 'without', 'the', 'word', 'diaphragm', ',', 'or', 'use', 'a', 'link', 'to', 'wiktionary', '.', 'in', 'fact', ',', 'should', 'linking', 'to', 'wiktionary', 'be', 'a', 'standard', 'way', 'to', 'clear', 'up', 'some', 'of', 'the', 'links', 'to', 'dab', 'pages', '?']",14.8,3.1240998703626617,"[13, 13, 14, 13, 21]",0,73
Pathauto is able to handle that. Have you tried it ?,"['pathauto', 'is', 'able', 'to', 'handle', 'that', '.', 'have', 'you', 'tried', 'it', '?']",17.4,4.498888751680798,"[13, 20, 11, 21, 22]",1,12
"Is your work email a Gmail account, or Exchange, etc? Which email app are you using?","['is', 'your', 'work', 'email', 'a', 'gmail', 'account', ',', 'or', 'exchange', ',', 'etc', '?', 'which', 'email', 'app', 'are', 'you', 'using', '?']",16.6,3.1368774282716245,"[17, 13, 14, 22, 17]",1,20
"Incidentally, Jossi has admitted to having negative opinions about Golb and to ""throwing oil on the fire"" in that regard on another talk page.  Is it entirely appropriate for him to be involved in editing this page?","['incidentally', ',', 'jossi', 'has', 'admitted', 'to', 'having', 'negative', 'opinions', 'about', 'golb', 'and', 'to', '``', 'throwing', 'oil', 'on', 'the', 'fire', ""''"", 'in', 'that', 'regard', 'on', 'another', 'talk', 'page', '.', 'is', 'it', 'entirely', 'appropriate', 'for', 'him', 'to', 'be', 'involved', 'in', 'editing', 'this', 'page', '?']",13.6,2.939387691339814,"[13, 18, 13, 15, 9]",0,42
"How can I join, by the way?  And is there a Welcoming Comittee userbox?","['how', 'can', 'i', 'join', ',', 'by', 'the', 'way', '?', 'and', 'is', 'there', 'a', 'welcoming', 'comittee', 'userbox', '?']",14.0,1.5491933384829668,"[13, 17, 14, 13, 13]",0,17
@martin.malek — I've edited the title. Does that accurately reflect what you're looking for?,"['@', 'martin.malek', '—', 'i', ""'ve"", 'edited', 'the', 'title', '.', 'does', 'that', 'accurately', 'reflect', 'what', 'you', ""'re"", 'looking', 'for', '?']",13.0,4.774934554525329,"[10, 9, 21, 9, 16]",-1,19
"OK you fixed it.  I know the difference betweeen these:<nowiki> <url>, <url></nowiki> but what are these supposed to mean <nowiki><person>, <url></nowiki>?","['ok', 'you', 'fixed', 'it', '.', 'i', 'know', 'the', 'difference', 'betweeen', 'these', ':', '<', 'nowiki', '>', '<', 'url', '>', ',', '<', 'url', '>', '<', '/nowiki', '>', 'but', 'what', 'are', 'these', 'supposed', 'to', 'mean', '<', 'nowiki', '>', '<', 'person', '>', ',', '<', 'url', '>', '<', '/nowiki', '>', '?']",12.6,3.2,"[17, 9, 15, 13, 9]",0,46
I've filed a <url> in regard to all the recent IPs with which RFD and I have been involved.  Could you look there and offer an opinion?,"['i', ""'ve"", 'filed', 'a', '<', 'url', '>', 'in', 'regard', 'to', 'all', 'the', 'recent', 'ips', 'with', 'which', 'rfd', 'and', 'i', 'have', 'been', 'involved', '.', 'could', 'you', 'look', 'there', 'and', 'offer', 'an', 'opinion', '?']",17.4,3.9293765408777,"[16, 14, 25, 15, 17]",0,32
last msg ???,"['last', 'msg', '?', '?', '?']",9.2,3.8678159211627436,"[13, 2, 12, 10, 9]",-1,5
"it might not be Windows that is doing this, but your display driver. Is it nVidia?","['it', 'might', 'not', 'be', 'windows', 'that', 'is', 'doing', 'this', ',', 'but', 'your', 'display', 'driver', '.', 'is', 'it', 'nvidia', '?']",12.8,0.39999999999999997,"[13, 13, 13, 12, 13]",0,19
Can you access http://swscan.apple.com/content/catalogs/index.sucatalog from your browser or using curl? (Just to rule out that you can talk to Apple's servers) and if have you tried deleting com.apple.SoftwareUpdate.plist in `/Library/Preferences/`?,"['can', 'you', 'access', 'http', ':', '//swscan.apple.com/content/catalogs/index.sucatalog', 'from', 'your', 'browser', 'or', 'using', 'curl', '?', '(', 'just', 'to', 'rule', 'out', 'that', 'you', 'can', 'talk', 'to', 'apple', ""'s"", 'servers', ')', 'and', 'if', 'have', 'you', 'tried', 'deleting', 'com.apple.softwareupdate.plist', 'in', '`', '/library/preferences/', '`', '?']",19.4,1.9595917942265426,"[21, 21, 21, 17, 17]",1,39
"Die Person, die Probleme macht, ist jetzt in Schwierigkeiten. Vielleicht seit langem?","['die', 'person', ',', 'die', 'probleme', 'macht', ',', 'ist', 'jetzt', 'in', 'schwierigkeiten', '.', 'vielleicht', 'seit', 'langem', '?']",10.6,4.8,"[13, 13, 13, 1, 13]",-1,16
what version of PHP are you using? Are you using 5.3+?,"['what', 'version', 'of', 'php', 'are', 'you', 'using', '?', 'are', 'you', 'using', '5.3+', '?']",14.2,2.9257477676655586,"[17, 9, 16, 16, 13]",0,13
you asked this same question a couple days ago http://stackoverflow.com/questions/3595256/simple-pseudocode-code-question .  Did you not like the answers you got?,"['you', 'asked', 'this', 'same', 'question', 'a', 'couple', 'days', 'ago', 'http', ':', '//stackoverflow.com/questions/3595256/simple-pseudocode-code-question', '.', 'did', 'you', 'not', 'like', 'the', 'answers', 'you', 'got', '?']",7.4,1.624807680927192,"[9, 6, 9, 8, 5]",-1,22
"Why do you want to do this in the first place? You're already using managed code, why not use the BCL's [regex class](http://msdn.microsoft.com/en-us/library/system.text.regularexpressions.regex.aspx)?","['why', 'do', 'you', 'want', 'to', 'do', 'this', 'in', 'the', 'first', 'place', '?', 'you', ""'re"", 'already', 'using', 'managed', 'code', ',', 'why', 'not', 'use', 'the', 'bcl', ""'s"", '[', 'regex', 'class', ']', '(', 'http', ':', '//msdn.microsoft.com/en-us/library/system.text.regularexpressions.regex.aspx', ')', '?']",11.6,4.079215610874228,"[17, 9, 9, 7, 16]",-1,35
"Seeing this problem with a bit of perspective, an idea would be to embed bibliographic metadata in PDF files. Maybe biblatex can do that or can be made to?","['seeing', 'this', 'problem', 'with', 'a', 'bit', 'of', 'perspective', ',', 'an', 'idea', 'would', 'be', 'to', 'embed', 'bibliographic', 'metadata', 'in', 'pdf', 'files', '.', 'maybe', 'biblatex', 'can', 'do', 'that', 'or', 'can', 'be', 'made', 'to', '?']",13.6,1.2,"[13, 13, 16, 13, 13]",0,32
"Can you provide your own application (even a small one), or is it only web based? Also, is it acceptable to popup  user/password dialogs?","['can', 'you', 'provide', 'your', 'own', 'application', '(', 'even', 'a', 'small', 'one', ')', ',', 'or', 'is', 'it', 'only', 'web', 'based', '?', 'also', ',', 'is', 'it', 'acceptable', 'to', 'popup', 'user/password', 'dialogs', '?']",14.8,3.919183588453085,"[13, 21, 9, 16, 15]",0,30
"I find it strange that you call datetime.now() 3 times, but get different results (look in the query - one of the times is 00:00:00 and the other 2 are not). maybe you should assign the results of datetime.now() to some variable and pass that to the filters?","['i', 'find', 'it', 'strange', 'that', 'you', 'call', 'datetime.now', '(', ')', '3', 'times', ',', 'but', 'get', 'different', 'results', '(', 'look', 'in', 'the', 'query', '-', 'one', 'of', 'the', 'times', 'is', '00:00:00', 'and', 'the', 'other', '2', 'are', 'not', ')', '.', 'maybe', 'you', 'should', 'assign', 'the', 'results', 'of', 'datetime.now', '(', ')', 'to', 'some', 'variable', 'and', 'pass', 'that', 'to', 'the', 'filters', '?']",11.6,2.5768197453450252,"[12, 9, 9, 12, 16]",-1,57
You are doing a regex match but not checking whether it succeeded or using its results in any way.  What change to you want to happen to `$name`?,"['you', 'are', 'doing', 'a', 'regex', 'match', 'but', 'not', 'checking', 'whether', 'it', 'succeeded', 'or', 'using', 'its', 'results', 'in', 'any', 'way', '.', 'what', 'change', 'to', 'you', 'want', 'to', 'happen', 'to', '`', '$', 'name', '`', '?']",9.6,2.65329983228432,"[9, 11, 13, 5, 10]",-1,33
I've now dealt with the RFI report. Any others while I'm at it?,"['i', ""'ve"", 'now', 'dealt', 'with', 'the', 'rfi', 'report', '.', 'any', 'others', 'while', 'i', ""'m"", 'at', 'it', '?']",13.4,1.9595917942265424,"[17, 13, 13, 11, 13]",0,17
"Hi, I see you voted ""support"" but in the neutral section. Would you like to move that to the support section?","['hi', ',', 'i', 'see', 'you', 'voted', '``', 'support', ""''"", 'but', 'in', 'the', 'neutral', 'section', '.', 'would', 'you', 'like', 'to', 'move', 'that', 'to', 'the', 'support', 'section', '?']",18.6,2.727636339397171,"[21, 14, 21, 20, 17]",1,26
"@Gulshan Sorry, obvious question - is there a reason this can't be a web application and/or done w/ something like Adobe Air?","['@', 'gulshan', 'sorry', ',', 'obvious', 'question', '-', 'is', 'there', 'a', 'reason', 'this', 'ca', ""n't"", 'be', 'a', 'web', 'application', 'and/or', 'done', 'w/', 'something', 'like', 'adobe', 'air', '?']",16.6,2.6532998322843198,"[17, 13, 21, 15, 17]",1,26
I am out of YUBC (I wonder myself how can I even post here). Could you do it?,"['i', 'am', 'out', 'of', 'yubc', '(', 'i', 'wonder', 'myself', 'how', 'can', 'i', 'even', 'post', 'here', ')', '.', 'could', 'you', 'do', 'it', '?']",12.8,4.214261501141095,"[13, 17, 13, 5, 16]",0,22
"Uhm, can you clarify? Are you asking how to count how many ""a""'s an array has?","['uhm', ',', 'can', 'you', 'clarify', '?', 'are', 'you', 'asking', 'how', 'to', 'count', 'how', 'many', '``', 'a', ""''"", ""'s"", 'an', 'array', 'has', '?']",13.8,4.915282290977803,"[12, 6, 13, 18, 20]",0,22
"Can you be more precise about what exactly the system needs to achieve? Something like ""Given X initial data, output Y""?","['can', 'you', 'be', 'more', 'precise', 'about', 'what', 'exactly', 'the', 'system', 'needs', 'to', 'achieve', '?', 'something', 'like', '``', 'given', 'x', 'initial', 'data', ',', 'output', 'y', ""''"", '?']",20.2,3.059411708155671,"[17, 25, 17, 20, 22]",1,26
How did I vandalize!!??,"['how', 'did', 'i', 'vandalize', '!', '!', '?', '?']",3.6,1.7435595774162693,"[2, 5, 5, 5, 1]",-1,8
Where really is your perl executable? /bin/perl or /usr/local/bin/perl?,"['where', 'really', 'is', 'your', 'perl', 'executable', '?', '/bin/perl', 'or', '/usr/local/bin/perl', '?']",14.2,3.867815921162743,"[13, 9, 12, 20, 17]",0,11
It's great that you posted this answer. Can you please also accept it so that the system knows that the problem is solved?,"['it', ""'s"", 'great', 'that', 'you', 'posted', 'this', 'answer', '.', 'can', 'you', 'please', 'also', 'accept', 'it', 'so', 'that', 'the', 'system', 'knows', 'that', 'the', 'problem', 'is', 'solved', '?']",15.6,2.65329983228432,"[17, 15, 13, 20, 13]",1,26
"Can you clarify ""guy in a tube""? Like a tube raft?","['can', 'you', 'clarify', '``', 'guy', 'in', 'a', 'tube', ""''"", '?', 'like', 'a', 'tube', 'raft', '?']",14.6,4.079215610874228,"[17, 9, 13, 21, 13]",0,15
What did they give as the reason they rejected your site? And what did you do to resolve that problem?,"['what', 'did', 'they', 'give', 'as', 'the', 'reason', 'they', 'rejected', 'your', 'site', '?', 'and', 'what', 'did', 'you', 'do', 'to', 'resolve', 'that', 'problem', '?']",9.0,4.560701700396552,"[7, 11, 13, 13, 1]",-1,22
Bah. No I'm not. I'm guessing it requires 10.6?,"['bah', '.', 'no', 'i', ""'m"", 'not', '.', 'i', ""'m"", 'guessing', 'it', 'requires', '10.6', '?']",13.6,3.97994974842648,"[13, 12, 9, 13, 21]",0,14
"@AviD: Cool, thanks! The original question asker gets to decide who answers the question, though, and can then just select his or her own answer, right?","['@', 'avid', ':', 'cool', ',', 'thanks', '!', 'the', 'original', 'question', 'asker', 'gets', 'to', 'decide', 'who', 'answers', 'the', 'question', ',', 'though', ',', 'and', 'can', 'then', 'just', 'select', 'his', 'or', 'her', 'own', 'answer', ',', 'right', '?']",16.8,2.5612496949731396,"[21, 17, 17, 16, 13]",1,34
"+1 for not saying ""hey, I'll just rent a VPS! I won't get hacked because I've got automatic updates, right?""","['+1', 'for', 'not', 'saying', '``', 'hey', ',', 'i', ""'ll"", 'just', 'rent', 'a', 'vps', '!', 'i', 'wo', ""n't"", 'get', 'hacked', 'because', 'i', ""'ve"", 'got', 'automatic', 'updates', ',', 'right', '?', ""''""]",17.2,3.8157568056677826,"[21, 13, 17, 13, 22]",1,29
I found an obscure reference to idna trace. Has anyone heard of/used this application?,"['i', 'found', 'an', 'obscure', 'reference', 'to', 'idna', 'trace', '.', 'has', 'anyone', 'heard', 'of/used', 'this', 'application', '?']",16.6,2.0591260281974,"[16, 17, 19, 18, 13]",1,16
"Are the warped spots reachable from the doorway?  If so, could you use a bent-nose pliers to straighten the track?","['are', 'the', 'warped', 'spots', 'reachable', 'from', 'the', 'doorway', '?', 'if', 'so', ',', 'could', 'you', 'use', 'a', 'bent-nose', 'pliers', 'to', 'straighten', 'the', 'track', '?']",15.4,1.9595917942265424,"[13, 17, 17, 13, 17]",1,23
"Thanks for the help! That info should be on <url> in easy to read form, no?","['thanks', 'for', 'the', 'help', '!', 'that', 'info', 'should', 'be', 'on', '<', 'url', '>', 'in', 'easy', 'to', 'read', 'form', ',', 'no', '?']",19.4,4.079215610874227,"[13, 21, 17, 25, 21]",1,21
"@Rob Fox, thanks! BTW, why won't you post it as an answer? ;)","['@', 'rob', 'fox', ',', 'thanks', '!', 'btw', ',', 'why', 'wo', ""n't"", 'you', 'post', 'it', 'as', 'an', 'answer', '?', ';', ')']",18.0,3.9496835316262997,"[14, 21, 17, 14, 24]",1,20
"<person> is dropping OR on various talk pages, including his own and his userpage - and linking his talk page to his blog. <url> or rather blogs <url> - not run into this sort of linking before, is there any guidance about it somewhere?","['<', 'person', '>', 'is', 'dropping', 'or', 'on', 'various', 'talk', 'pages', ',', 'including', 'his', 'own', 'and', 'his', 'userpage', '-', 'and', 'linking', 'his', 'talk', 'page', 'to', 'his', 'blog', '.', '<', 'url', '>', 'or', 'rather', 'blogs', '<', 'url', '>', '-', 'not', 'run', 'into', 'this', 'sort', 'of', 'linking', 'before', ',', 'is', 'there', 'any', 'guidance', 'about', 'it', 'somewhere', '?']",13.4,0.7999999999999999,"[13, 13, 13, 15, 13]",0,54
I don't see how thinking of raster as a specialised type of vector is helpful to understanding. Could you please elaborate on how this perspective has helped you?,"['i', 'do', ""n't"", 'see', 'how', 'thinking', 'of', 'raster', 'as', 'a', 'specialised', 'type', 'of', 'vector', 'is', 'helpful', 'to', 'understanding', '.', 'could', 'you', 'please', 'elaborate', 'on', 'how', 'this', 'perspective', 'has', 'helped', 'you', '?']",13.6,0.8,"[13, 13, 14, 15, 13]",0,31
Maybe the area that is now the Chakma Autonomous District Council was (or is?) located within the Lawngtali district?,"['maybe', 'the', 'area', 'that', 'is', 'now', 'the', 'chakma', 'autonomous', 'district', 'council', 'was', '(', 'or', 'is', '?', ')', 'located', 'within', 'the', 'lawngtali', 'district', '?']",15.4,1.4966629547095764,"[15, 17, 15, 13, 17]",0,23
What are the numbers <url>? Are they population figures?,"['what', 'are', 'the', 'numbers', '<', 'url', '>', '?', 'are', 'they', 'population', 'figures', '?']",13.8,1.5999999999999999,"[13, 13, 13, 13, 17]",0,13
The same way anyone with a desk job stays healthy! This isn't really programmer-related?,"['the', 'same', 'way', 'anyone', 'with', 'a', 'desk', 'job', 'stays', 'healthy', '!', 'this', 'is', ""n't"", 'really', 'programmer-related', '?']",17.2,2.5612496949731396,"[17, 18, 17, 13, 21]",1,17
